City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature,Wind Speed (MPH)
Sesimbra,75.0,PT,,94.0,38.4445,,,10.36
Thaba-Tseka,95.0,LS,,64.0,-29.522,,,1.12
Tongren,81.0,CN,,82.0,27.7172,,,1.03
La Santisima Trinidad,100.0,BO,,90.0,-14.8333,,,4.41
Srostki,27.0,RU,,86.0,52.4189,,,3.89
Verāval,0.0,IN,,41.0,20.9,,,8.3
Río Gallegos,20.0,AR,,38.0,-51.6226,,,24.16
Broken Hill,75.0,AU,,44.0,-31.95,,,11.5
Almenara,100.0,BR,,84.0,-16.1836,,,2.26
Vostok,100.0,RU,,93.0,46.4856,,,3.58
Bellevue,90.0,US,,86.0,47.6104,,,3.44
Allanridge,0.0,ZA,,85.0,-27.7543,,,8.37
Bagotville,40.0,AU,,53.0,-28.9833,,,4.61
Erenhot,4.0,CN,,87.0,43.6475,,,5.86
Pestretsy,75.0,RU,,78.0,55.7531,,,6.71
Romans-sur-Isère,99.0,FR,,88.0,45.0464,,,3.94
Manga,0.0,BF,,17.0,11.6636,,,6.93
Luba,20.0,GQ,,89.0,3.4568,,,9.22
Abilene,90.0,US,,80.0,32.4487,,,10.36
Harper,27.0,LR,,88.0,4.375,,,6.89
Esso,32.0,RU,,86.0,55.9333,,,2.71
Victor Harbor,82.0,AU,,59.0,-35.5667,,,1.99
Ygatimi,1.0,PY,,94.0,-24.0833,,,1.45
Māgadi,20.0,IN,,94.0,12.9667,,,3.44
Muros,21.0,ES,,93.0,42.7762,,,15.99
Båtsfjord,100.0,NO,,93.0,70.6345,,,13.82
Utinga,20.0,BR,,78.0,-5.8172,,,9.22
Fort Saint James,100.0,CA,,86.0,54.4333,,,1.95
Sterling,75.0,US,,74.0,39.0062,,,6.91
Fare,22.0,PF,,67.0,-16.7,,,12.37
Doha,0.0,QA,,82.0,25.2867,,,6.91
Ballarat,0.0,AU,,55.0,-37.5662,,,3.0
Abéché,0.0,TD,,31.0,13.8292,,,7.49
Sotik Post,100.0,KE,,96.0,-0.7813,,,1.01
Pedernales,0.0,DO,,61.0,18.0384,,,13.4
Mitsamiouli,100.0,KM,,77.0,-11.3847,,,14.65
Mastic Beach,100.0,US,,57.0,40.7668,,,3.0
Sungai Penuh,9.0,ID,,82.0,-2.0833,,,1.39
Taltal,0.0,CL,,69.0,-25.4,,,3.27
Rocky River,100.0,US,,79.0,41.4756,,,1.99
Barstow,1.0,US,,24.0,34.8986,,,3.44
Nantucket,20.0,US,,74.0,41.2835,,,4.61
Wattegama,1.0,LK,,100.0,6.7989,,,3.44
Batemans Bay,100.0,AU,,94.0,-35.7167,,,7.07
Montefiascone,3.0,IT,,84.0,42.5393,,,8.01
Helena,90.0,US,,59.0,46.5927,,,5.75
Seoul,93.0,KR,,93.0,37.5683,,,2.3
Kutum,0.0,SD,,34.0,14.2,,,8.97
Galesong,20.0,ID,,89.0,-5.3166,,,2.3
Dombarovskiy,100.0,RU,,98.0,50.7587,,,11.18
Ushtobe,100.0,KZ,,97.0,45.2514,,,6.42
Opuwo,94.0,NA,,77.0,-18.0607,,,4.94
Kapoeta,95.0,SS,,30.0,4.7717,,,1.72
Lishan,31.0,CN,,64.0,31.8576,,,3.27
Kamenka,100.0,RU,,96.0,51.3223,,,7.61
Batagay-Alyta,100.0,RU,,83.0,67.8006,,,2.28
Puerto Escondido,1.0,MX,,74.0,15.85,,,6.06
Mariental,93.0,NA,,49.0,-24.6333,,,6.46
Celestún,42.0,MX,,82.0,20.8667,,,9.08
Mayumba,100.0,GA,,84.0,-3.432,,,4.05
Polovinnoye,67.0,RU,,91.0,54.7914,,,6.62
Salinópolis,100.0,BR,,86.0,-0.6136,,,11.25
Rincon,90.0,US,,94.0,32.296,,,8.05
Myski,0.0,RU,,83.0,53.709,,,2.44
Pecos,90.0,US,,80.0,31.4229,,,10.36
Olafsvik,98.0,IS,,75.0,64.8945,,,18.19
Okha,100.0,RU,,97.0,53.5739,,,6.08
Santa Vitória,100.0,BR,,83.0,-18.8386,,,3.62
Chapais,90.0,CA,,71.0,49.7834,,,10.36
Ketchikan,1.0,US,,36.0,55.3422,,,23.02
Fortuna,40.0,US,,100.0,40.5982,,,10.36
Port Lincoln,99.0,AU,,63.0,-34.7333,,,12.17
Teya,100.0,RU,,84.0,60.3778,,,6.85
Brae,90.0,GB,,65.0,60.3964,,,25.32
Cazones de Herrera,20.0,MX,,69.0,20.7167,,,9.22
Tokmak,100.0,UA,,76.0,47.2514,,,11.83
Jasper,90.0,US,,79.0,37.2001,,,8.05
Lethem,1.0,GY,,61.0,3.3803,,,10.71
Kailua,40.0,US,,53.0,21.4022,,,10.36
Sechura,99.0,PE,,73.0,-5.5569,,,10.98
Gijón,100.0,ES,,87.0,43.5357,,,2.55
Banda Aceh,16.0,ID,,77.0,5.5577,,,4.76
Basco,0.0,PH,,77.0,20.4487,,,18.61
San Patricio,90.0,US,,100.0,28.017,,,20.71
Launceston,40.0,AU,,56.0,-41.45,,,19.57
Lowestoft,0.0,GB,1613091070.0,82.0,52.4752,,,4.0
Mehamn,95.0,NO,1613091070.0,91.0,71.0357,,,10.0
Chokurdakh,78.0,RU,1613091071.0,79.0,70.6333,,,4.03
Mataura,0.0,NZ,1613091071.0,68.0,-46.1927,,,10.0
Muisne,45.0,EC,1613090882.0,85.0,0.6,,,2.13
Qaanaaq,0.0,GL,1613091071.0,69.0,77.484,,,6.38
Mahébourg,75.0,MU,1613091071.0,73.0,-20.4081,,,8.05
Rikitea,91.0,PF,1613090882.0,69.0,-23.1203,,,6.02
São Marcos,84.0,BR,1613091071.0,87.0,-28.9711,,,4.0
Punta Arenas,40.0,CL,1613091071.0,71.0,-53.15,,,14.97
Prince Albert,90.0,CA,1613090883.0,57.0,53.2001,,,11.5
Naze,75.0,JP,1613091072.0,82.0,28.3667,,,27.63
Cherskiy,0.0,RU,1613091072.0,81.0,68.75,,,1.9
Busselton,0.0,AU,1613091072.0,70.0,-33.65,,,3.0
Guerrero Negro,0.0,MX,1613091072.0,73.0,27.9769,,,13.56
Lagoa,100.0,PT,1613090883.0,88.0,39.05,,,31.54
Saint-Augustin,100.0,CA,1613090883.0,94.0,51.226,,,14.81
Tūkrah,14.0,LY,1613091073.0,75.0,32.5341,,,9.35
Alexandria,0.0,EG,1613090884.0,87.0,31.2156,,,3.91
Tasiilaq,90.0,GL,1613090723.0,68.0,65.6145,,,25.32
Saint-Philippe,0.0,RE,1613090715.0,65.0,-21.3585,,,13.8
Pisco,0.0,PE,1613090784.0,83.0,-13.7,,,6.91
Varkala,20.0,IN,1613091073.0,68.0,8.7341,,,2.3
Sanquhar,0.0,GB,1613091073.0,64.0,55.3653,,,14.97
Berlevåg,100.0,NO,1613090884.0,93.0,70.8578,,,15.75
Piñas,82.0,EC,1613090885.0,86.0,-3.6667,,,0.56
Bredasdorp,100.0,ZA,1613091074.0,88.0,-34.5322,,,3.44
Khorramshahr,0.0,IR,1613090829.0,72.0,30.4397,,,4.61
Port Alfred,95.0,ZA,1613091015.0,96.0,-33.5906,,,8.34
Albion,90.0,US,1613091074.0,57.0,42.2431,,,3.44
Alice Springs,75.0,AU,1613091075.0,48.0,-23.7,,,10.36
Majholi,100.0,IN,1613091075.0,40.0,23.5,,,3.29
Abnūb,0.0,EG,1613091075.0,62.0,27.2696,,,9.22
Capinópolis,100.0,BR,1613091075.0,82.0,-18.6819,,,2.19
Pitiquito,0.0,MX,1613091075.0,29.0,30.7,,,10.0
Ushuaia,40.0,AR,1613090886.0,76.0,-54.8,,,29.93
Khatanga,100.0,RU,1613091066.0,87.0,71.9667,,,4.92
Havøysund,20.0,NO,1613091075.0,74.0,70.9963,,,3.44
Yangi Marg`ilon,12.0,UZ,1613091075.0,53.0,40.4272,,,2.3
Castro,100.0,BR,1613090820.0,96.0,-24.7911,,,5.55
Carnarvon,91.0,AU,1613091076.0,69.0,-24.8667,,,18.41
Saint Paul Harbor,90.0,US,1613090887.0,87.0,57.79,,,36.82
Esim,0.0,GH,1613091076.0,84.0,4.8699,,,10.18
Pacific Grove,90.0,US,1613090788.0,62.0,36.6177,,,4.61
Lebu,0.0,CL,1613091076.0,90.0,-37.6167,,,14.2
Longyearbyen,20.0,SJ,1613091076.0,78.0,78.2186,,,16.11
Port Elizabeth,75.0,ZA,1613090835.0,94.0,-33.918,,,16.11
Yamada,0.0,JP,1613091077.0,67.0,39.4667,,,0.49
Upernavik,100.0,GL,1613091077.0,81.0,72.7868,,,8.66
Vardø,100.0,NO,1613090888.0,96.0,70.3705,,,20.71
Babylon,1.0,US,1613091025.0,54.0,40.6957,,,6.91
Albany,25.0,US,1613091008.0,74.0,42.6001,,,7.45
Tuktoyaktuk,40.0,CA,1613091077.0,84.0,69.4541,,,14.97
Atuona,0.0,PF,1613091077.0,74.0,-9.8,,,11.27
Yellowknife,20.0,CA,1613091021.0,77.0,62.456,,,8.05
Butaritari,0.0,KI,1613091077.0,76.0,3.0707,,,13.04
Bambous Virieux,75.0,MU,1613091078.0,73.0,-20.3428,,,8.05
Lompoc,1.0,US,1613091078.0,72.0,34.6391,,,9.22
Westport,100.0,US,1613091078.0,59.0,41.1415,,,11.43
Vaini,75.0,TO,1613090819.0,79.0,-21.2,,,9.22
Torbay,90.0,CA,1613091078.0,93.0,47.6666,,,28.77
Hilo,90.0,US,1613090860.0,65.0,19.7297,,,8.84
Salamiyah,0.0,SY,1613090786.0,59.0,35.0113,,,9.28
Amapá,100.0,BR,1613091078.0,98.0,1.0,,,2.93
Rudnogorsk,76.0,RU,1613091079.0,88.0,57.2639,,,3.0
Hobyo,100.0,SO,1613091079.0,75.0,5.3505,,,17.11
Ponta do Sol,20.0,PT,1613091079.0,72.0,32.6667,,,2.3
Korla,84.0,CN,1613090890.0,85.0,41.7597,,,1.25
Constitución,100.0,CL,1613090866.0,91.0,-35.3333,,,6.82
Bariloche,40.0,AR,1613091018.0,43.0,-41.1456,,,19.57
Comodoro Rivadavia,0.0,AR,1613091081.0,20.0,-45.8667,,,10.36
George Town,20.0,MY,1613090822.0,88.0,5.4112,,,2.3
Hasaki,90.0,JP,1613091082.0,65.0,35.7333,,,6.91
Tutóia,100.0,BR,1613091082.0,82.0,-2.7619,,,13.65
Santa Cruz de la Sierra,90.0,BO,1613090891.0,88.0,-17.8,,,8.05
Nuquí,100.0,CO,1613091082.0,80.0,5.7125,,,2.37
New Norfolk,0.0,AU,1613091082.0,58.0,-42.7826,,,8.99
Mar del Plata,90.0,AR,1613090892.0,88.0,-38.0023,,,17.27
Prince Rupert,1.0,CA,1613090892.0,25.0,54.3161,,,10.36
Kaitangata,3.0,NZ,1613091083.0,58.0,-46.2817,,,3.0
Balatonboglár,75.0,HU,1613091083.0,68.0,46.7752,,,16.11
Buta,9.0,CD,1613091083.0,43.0,2.7858,,,0.94
Jamestown,1.0,US,1613090893.0,73.0,42.097,,,4.61
San Luis Potosí,20.0,MX,1613091084.0,8.0,22.5,,,16.11
East London,47.0,ZA,1613091084.0,85.0,-33.0153,,,10.94
Roald,0.0,NO,1613091084.0,54.0,62.5833,,,10.36
Barra de Tecoanapa,0.0,MX,1613091084.0,78.0,16.5167,,,8.61
Thompson,75.0,CA,1613091084.0,76.0,55.7435,,,2.3
Oktyabr'skiy,95.0,RU,1613091019.0,95.0,54.4815,,,3.42
Pierre,90.0,US,1613091085.0,71.0,44.3683,,,8.05
Provideniya,20.0,RU,1613091085.0,65.0,64.3833,,,29.08
Mayo,90.0,US,1613091085.0,75.0,38.8876,,,5.75
Rotifunk,100.0,SL,1613091085.0,89.0,8.2333,,,2.24
Laas,0.0,IT,1613091085.0,85.0,46.6166,,,9.22
Kavaratti,24.0,IN,1613091085.0,57.0,10.5669,,,6.4
Arraial do Cabo,40.0,BR,1613091085.0,94.0,-22.9661,,,6.91
Almeirim,100.0,BR,1613091085.0,93.0,-1.5233,,,4.56
Yeppoon,97.0,AU,1613091086.0,42.0,-23.1333,,,8.05
Hermanus,96.0,ZA,1613090896.0,88.0,-34.4187,,,9.01
Dikson,98.0,RU,1613091086.0,89.0,73.5069,,,5.19
Hobart,40.0,AU,1613091007.0,40.0,-42.8794,,,24.16
Nikolskoye,75.0,RU,1613091086.0,85.0,59.7035,,,8.95
Glasgow,0.0,GB,1613090928.0,80.0,55.8652,,,11.5
Ivanteyevka,90.0,RU,1613090896.0,78.0,55.9711,,,8.95
Bathsheba,40.0,BB,1613091087.0,61.0,13.2167,,,17.27
Kapaa,1.0,US,1613090897.0,60.0,22.0752,,,6.91
Talnakh,91.0,RU,1613091087.0,87.0,69.4865,,,2.21
Mount Isa,0.0,AU,1613091088.0,46.0,-20.7333,,,13.8
Iranshahr,0.0,IR,1613090897.0,14.0,27.2025,,,6.91
Aginskoye,32.0,RU,1613091088.0,89.0,51.1,,,17.49
Avarua,32.0,CK,1613091088.0,69.0,-21.2078,,,3.44
Faanui,5.0,PF,1613091088.0,68.0,-16.4833,,,9.78
Turukhansk,0.0,RU,1613091088.0,82.0,65.8167,,,5.14
Lavrentiya,0.0,RU,1613090836.0,81.0,65.5833,,,12.91
Airai,51.0,TL,1613090898.0,78.0,-8.9266,,,1.3
Matara,70.0,LK,1613091089.0,90.0,5.9485,,,3.18
Geraldton,0.0,AU,1613091089.0,43.0,-28.7667,,,11.5
Halifax,30.0,CA,1613091089.0,68.0,44.6453,,,6.91
Merauke,89.0,ID,1613091089.0,83.0,-8.4667,,,7.78
Barrow,1.0,US,1613091090.0,83.0,71.2906,,,9.22
Bratislava,20.0,SK,1613090899.0,62.0,48.1482,,,6.91
Ribeira Grande,100.0,PT,1613091090.0,84.0,38.5167,,,38.16
Puerto Ayora,91.0,EC,1613091090.0,98.0,-0.7393,,,7.38
Kerema,89.0,PG,1613091090.0,82.0,-7.9631,,,13.4
Kirakira,100.0,SB,1613091090.0,88.0,-10.4544,,,6.73
Codrington,96.0,AU,1613091090.0,61.0,-38.2667,,,12.06
Kahului,20.0,US,1613090901.0,50.0,20.8947,,,16.11
Port Antonio,75.0,JM,1613091090.0,65.0,18.18,,,10.36
Deniliquin,100.0,AU,1613090902.0,73.0,-35.5333,,,1.01
Safaga,0.0,EG,1613090798.0,44.0,26.7292,,,5.75
Lüderitz,43.0,NA,1613091091.0,88.0,-26.6481,,,4.65
Buin,0.0,CL,1613091091.0,77.0,-33.7333,,,12.66
Hamilton,100.0,US,1613091091.0,68.0,39.1834,,,8.16
Benguela,91.0,AO,1613091091.0,81.0,-12.5763,,,4.76
Palana,0.0,RU,1613091091.0,90.0,59.1167,,,14.92
Laguna,90.0,US,1613091091.0,76.0,38.421,,,5.75
Sarangani,85.0,PH,1613091091.0,76.0,5.4033,,,11.01
Aklavik,40.0,CA,1613090903.0,70.0,68.2191,,,12.66
Cape Town,75.0,ZA,1613091092.0,94.0,-33.9258,,,11.5
Tucumcari,1.0,US,1613091092.0,42.0,35.1717,,,17.27
Egvekinot,0.0,RU,1613091092.0,84.0,66.3167,,,10.8
Hithadhoo,68.0,MV,1613091092.0,80.0,-0.6,,,11.86
Henties Bay,82.0,NA,1613091092.0,87.0,-22.116,,,4.23
Severo-Kuril'sk,94.0,RU,1613091092.0,90.0,50.6789,,,7.2
Itoman,75.0,JP,1613091092.0,77.0,26.1247,,,19.57
Grindavik,75.0,IS,1613091093.0,81.0,63.8424,,,21.85
Waingapu,73.0,ID,1613090904.0,68.0,-9.6567,,,4.14
Huilong,100.0,CN,1613091093.0,81.0,31.8111,,,8.01
Mwadui,100.0,TZ,1613091093.0,95.0,-3.55,,,3.94
Saint-Joseph,0.0,RE,1613091093.0,65.0,-21.3667,,,13.8
Kumano,0.0,JP,1613091093.0,70.0,34.3442,,,6.91
Tromsø,90.0,NO,1613091093.0,100.0,69.6496,,,28.77
Kuruman,78.0,ZA,1613091093.0,88.0,-27.4524,,,1.32
Hirara,75.0,JP,1613090905.0,83.0,24.8,,,13.8
Bulgan,100.0,MN,1613091094.0,81.0,48.8125,,,2.89
Hong Kong,0.0,HK,1613090827.0,72.0,22.2855,,,6.26
Kaeo,0.0,NZ,1613090906.0,49.0,-35.1,,,1.01
Ayan,99.0,RU,1613090906.0,96.0,56.45,,,3.47
Uniontown,100.0,US,1613091094.0,52.0,39.9001,,,1.01
Lata,32.0,PT,1613090894.0,91.0,40.1629,,,1.99
Antofagasta,0.0,CL,1613091094.0,73.0,-23.65,,,8.05
Zelenoborskiy,67.0,RU,1613091094.0,93.0,66.845,,,1.63
Wisconsin Rapids,90.0,US,1613091095.0,71.0,44.3836,,,6.91
Souillac,75.0,MU,1613090907.0,73.0,-20.5167,,,8.05
Itarema,100.0,BR,1613091095.0,83.0,-2.9248,,,10.71
Juegang,46.0,CN,1613091095.0,86.0,32.3174,,,8.5
Sherlovaya Gora,19.0,RU,1613091095.0,94.0,50.5667,,,12.82
Amahai,33.0,ID,1613091095.0,71.0,-3.3333,,,1.19
Meulaboh,89.0,ID,1613091095.0,84.0,4.1363,,,5.3
Honiara,100.0,SB,1613091095.0,86.0,-9.4333,,,9.78
Karratha,62.0,AU,1613090908.0,65.0,-20.7377,,,11.61
Husavik,0.0,IS,1613091096.0,79.0,66.0449,,,5.75
Mildura,90.0,AU,1613090828.0,68.0,-34.2,,,9.22
Fairbanks,75.0,US,1613091097.0,53.0,64.8378,,,1.14
Saint-Pierre,0.0,RE,1613090908.0,65.0,-21.3393,,,13.8
Tuatapere,0.0,NZ,1613091009.0,68.0,-46.1333,,,10.0
Cidreira,100.0,BR,1613091097.0,80.0,-30.1811,,,12.75
Chifeng,0.0,CN,1613090908.0,90.0,42.2683,,,6.26
Te Anau,0.0,NZ,1613090909.0,41.0,-45.4167,,,1.54
Puerto del Rosario,20.0,ES,1613091098.0,77.0,28.5004,,,12.66
Zhezkazgan,100.0,KZ,1613091098.0,88.0,47.8043,,,6.38
Byron Bay,40.0,AU,1613091098.0,53.0,-28.65,,,4.61
Kavieng,80.0,PG,1613090909.0,72.0,-2.5744,,,5.44
Atkarsk,100.0,RU,1613091098.0,98.0,51.8718,,,2.08
Iaçu,0.0,BR,1613091098.0,76.0,-12.7672,,,6.24
Verkhoyansk,0.0,RU,1613091099.0,83.0,67.5447,,,1.34
Chiredzi,95.0,ZW,1613091099.0,84.0,-21.05,,,4.83
Umba,0.0,RU,1613091099.0,91.0,66.6871,,,2.24
Darnah,0.0,LY,1613091100.0,76.0,32.767,,,19.13
Trhové Sviny,86.0,CZ,1613091100.0,87.0,48.8423,,,1.79
Mufumbwe,100.0,ZM,1613090910.0,96.0,-13.6833,,,3.58
Bluff,6.0,NZ,1613090911.0,68.0,-46.6,,,8.99
Port Shepstone,0.0,ZA,1613091102.0,85.0,-30.7414,,,12.55
Road Town,40.0,VG,1613090805.0,73.0,18.4167,,,10.36
Gusinoye Ozero,29.0,RU,1613090911.0,84.0,51.1144,,,4.94
Mount Holly,90.0,US,1613091103.0,87.0,35.2982,,,10.36
Port Hawkesbury,90.0,CA,1613091103.0,57.0,45.6169,,,14.97
Plettenberg Bay,100.0,ZA,1613090911.0,84.0,-34.0527,,,0.98
La Asuncion,100.0,VE,1613091103.0,82.0,11.0333,,,16.75
Bilibino,0.0,RU,1613090912.0,77.0,68.0546,,,3.89
Lokosovo,74.0,RU,1613091103.0,86.0,61.1333,,,7.23
Tarauacá,100.0,BR,1613091103.0,97.0,-8.1614,,,2.53
Leningradskiy,100.0,RU,1613091103.0,87.0,69.3833,,,11.9
Kruisfontein,100.0,ZA,1613090825.0,88.0,-34.0033,,,1.99
Matanzas,75.0,CU,1613091104.0,88.0,23.0411,,,6.91
The Valley,20.0,AI,1613091104.0,65.0,18.217,,,11.5
Dolores,100.0,AR,1613090883.0,83.0,-36.3132,,,8.75
Kotka,90.0,FI,1613091104.0,85.0,60.4664,,,6.91
Camacupa,100.0,AO,1613090913.0,76.0,-12.0167,,,5.37
Nizhniy Ingash,100.0,RU,1613091104.0,88.0,56.2,,,7.74
Lorengau,72.0,PG,1613091104.0,76.0,-2.0226,,,5.88
Cabo San Lucas,20.0,MX,1613090816.0,64.0,22.8909,,,11.5
Noshiro,20.0,JP,1613090914.0,93.0,40.2039,,,4.88
Palestine,0.0,PS,1613091105.0,87.0,31.9216,,,4.61
Sibsāgar,40.0,IN,1613091105.0,82.0,26.9833,,,0.45
Mogadouro,98.0,PT,1613091105.0,94.0,41.3403,,,5.01
Ranipur,94.0,PK,1613091106.0,30.0,27.2879,,,4.0
San Joaquin,90.0,US,1613091106.0,55.0,37.9333,,,4.61
Disna,100.0,BY,1613090914.0,93.0,55.568,,,12.59
Tambo Grande,100.0,PE,1613091106.0,62.0,-4.9269,,,10.18
Berdyaush,100.0,RU,1613091106.0,91.0,55.1619,,,3.87
Cayenne,75.0,GF,1613091106.0,100.0,4.9333,,,12.86
Touros,20.0,BR,1613091107.0,78.0,-5.1989,,,9.22
Isangel,99.0,VU,1613091107.0,67.0,-19.55,,,0.45
Necochea,99.0,AR,1613091107.0,87.0,-38.5473,,,4.0
Kovūr,100.0,IN,1613091107.0,79.0,14.4833,,,2.95
Marawi,46.0,PH,1613091107.0,85.0,7.9986,,,1.01
Zhigansk,99.0,RU,1613090871.0,90.0,66.7697,,,3.38
Dingle,86.0,PH,1613091107.0,81.0,10.9995,,,1.99
Kieta,100.0,PG,1613091108.0,79.0,-6.2167,,,7.2
Kaifeng,0.0,CN,1613090916.0,93.0,34.7911,,,2.24
Yar-Sale,98.0,RU,1613091108.0,88.0,66.8333,,,7.02
Vao,25.0,NC,1613091108.0,79.0,-22.6667,,,6.46
Talara,97.0,PE,1613090869.0,86.0,-4.5772,,,6.89
Mossamedes,99.0,AO,1613091108.0,77.0,-15.1961,,,2.42
Samarai,10.0,PG,1613091108.0,67.0,-10.6167,,,5.55
Iqaluit,90.0,CA,1613091108.0,78.0,63.7506,,,21.85
Gornopravdinsk,24.0,RU,1613091108.0,86.0,60.05,,,2.93
Great Falls,1.0,US,1613090917.0,68.0,47.5002,,,9.22
Nadvoitsy,88.0,RU,1613091109.0,93.0,63.8667,,,4.29
Sabang,0.0,ID,1613091109.0,73.0,5.8933,,,3.4
Ostrovnoy,100.0,RU,1613091109.0,92.0,68.0531,,,5.7
Vitim,100.0,RU,1613090918.0,87.0,59.4511,,,1.72
Picota,75.0,PE,1613091109.0,78.0,-6.9197,,,4.61
Shingū,75.0,JP,1613091109.0,53.0,33.7333,,,9.22
Kosai,100.0,JP,1613091110.0,54.0,34.7105,,,11.77
Whitianga,0.0,NZ,1613091110.0,43.0,-36.8333,,,4.85
Kargil,0.0,IN,1613091110.0,66.0,34.5667,,,1.54
Sitka,1.0,US,1613091110.0,25.0,57.0531,,,4.61
Buşayrā,0.0,JO,1613091110.0,48.0,30.7376,,,3.33
Shumskiy,100.0,RU,1613091110.0,87.0,54.8318,,,2.86
Garoua,0.0,CM,1613091111.0,21.0,9.3,,,1.72
Vila Franca do Campo,40.0,PT,1613091111.0,88.0,37.7167,,,24.16
Saint George,1.0,US,1613091111.0,25.0,37.1041,,,11.5
Kiama,0.0,AU,1613090923.0,60.0,-34.6833,,,5.75
Zhanakorgan,95.0,KZ,1613090923.0,82.0,43.9098,,,5.57
Goderich,100.0,CA,1613090924.0,73.0,43.7501,,,8.05
Clyde River,98.0,CA,1613090924.0,92.0,70.4692,,,27.63
Yanam,92.0,IN,1613091111.0,88.0,16.7333,,,4.61
Esmeraldas,75.0,BR,1613090924.0,94.0,-19.7625,,,4.61
Yumen,100.0,CN,1613091112.0,77.0,40.2833,,,15.68
Cabra,90.0,ES,1613090924.0,100.0,37.4725,,,2.3
Swellendam,94.0,ZA,1613091112.0,88.0,-34.0226,,,3.44
Port Blair,100.0,IN,1613090866.0,72.0,11.6667,,,10.54
Acapulco de Juárez,1.0,MX,1613091045.0,69.0,16.8634,,,11.5
Ati,0.0,TD,1613091112.0,22.0,13.2154,,,7.83
Mogadishu,80.0,SO,1613091112.0,83.0,2.0371,,,16.84
Moshenskoye,100.0,RU,1613091113.0,91.0,58.5102,,,5.5
Katsuura,0.0,JP,1613091113.0,53.0,35.1333,,,8.05
Petropavlovsk-Kamchatskiy,82.0,RU,1613091113.0,54.0,53.0452,,,4.47
Zunyi,15.0,CN,1613091113.0,78.0,27.6867,,,0.67
Saldanha,10.0,ZA,1613091113.0,88.0,-33.0117,,,8.05
Puerto Ayacucho,0.0,VE,1613090926.0,49.0,5.6639,,,8.25
Bilma,0.0,NE,1613090871.0,20.0,18.6853,,,9.62
Nhulunbuy,75.0,AU,1613090926.0,79.0,-12.2333,,,8.05
Cavalcante,97.0,BR,1613091113.0,88.0,-13.7975,,,3.76
Karaton,40.0,ID,1613090926.0,89.0,-6.3424,,,6.91
Quatre Cocos,75.0,MU,1613091114.0,73.0,-20.2078,,,8.05
Inhambane,14.0,MZ,1613090927.0,86.0,-23.865,,,12.84
Wakefield,26.0,GB,1613091114.0,84.0,53.6809,,,6.31
Ambanja,75.0,MG,1613090955.0,89.0,-13.6833,,,2.93
Nandurbar,0.0,IN,1613091114.0,27.0,21.3667,,,4.83
Margate,0.0,GB,1613091114.0,63.0,51.3813,,,7.0
Sharkan,24.0,RU,1613091115.0,80.0,57.2989,,,4.0
Tonekābon,20.0,IR,1613091115.0,100.0,36.8163,,,2.3
Aljezur,99.0,PT,1613091115.0,93.0,37.3191,,,5.1
Saskylakh,100.0,RU,1613091115.0,86.0,71.9167,,,4.94
Imeni Poliny Osipenko,100.0,RU,1613091115.0,93.0,52.4201,,,1.21
Lishui,100.0,CN,1613091115.0,82.0,28.4604,,,1.05
Três Lagoas,100.0,BR,1613091115.0,86.0,-20.7511,,,6.11
Ixtapa,90.0,MX,1613090852.0,73.0,20.7,,,9.22
Faya,0.0,SA,1613090928.0,57.0,18.3851,,,0.04
Inuvik,100.0,CA,1613091116.0,78.0,68.3499,,,2.3
Khani,0.0,GE,1613090895.0,47.0,41.9563,,,17.27
Imeni Babushkina,100.0,RU,1613091116.0,92.0,59.7573,,,3.31
Marzuq,42.0,YE,1613090874.0,40.0,14.4,,,2.89
Sakakah,0.0,SA,1613090929.0,71.0,29.9697,,,5.75
Borovoy,0.0,RU,1613090929.0,76.0,55.4333,,,6.71
Ancud,40.0,CL,1613091116.0,76.0,-41.8697,,,5.75
Esperance,90.0,AU,1613090929.0,63.0,-33.8667,,,9.22
Noumea,0.0,NC,1613091116.0,70.0,-22.2763,,,10.36
Pangody,9.0,RU,1613091117.0,83.0,65.85,,,4.29
Bria,54.0,CF,1613091117.0,24.0,6.5423,,,4.21
Dzerzhinsk,75.0,RU,1613090930.0,79.0,56.2389,,,4.47
Coyhaique,20.0,CL,1613090836.0,51.0,-45.5752,,,4.61
Huarmey,58.0,PE,1613090930.0,70.0,-10.0681,,,5.17
Greater Sudbury,1.0,CA,1613090904.0,50.0,46.49,,,3.44
Forsytheganj,100.0,BY,1613091117.0,95.0,52.6333,,,17.9
Lashio,3.0,MM,1613091117.0,71.0,22.9333,,,0.81
Bedelē,100.0,ET,1613091118.0,42.0,8.456,,,3.18
Neyshabur,0.0,IR,1613091118.0,47.0,36.2133,,,1.45
Nísia Floresta,20.0,BR,1613091118.0,83.0,-6.0911,,,16.11
Sundumbili,40.0,ZA,1613091118.0,88.0,-29.1337,,,2.3
Jaciara,100.0,BR,1613091118.0,93.0,-15.9653,,,4.61
Flinders,0.0,AU,1613091118.0,60.0,-34.5833,,,5.75
Casa Nova,40.0,BR,1613091118.0,51.0,-9.4167,,,8.05
Makakilo City,1.0,US,1613090931.0,47.0,21.3469,,,9.22
Pandamatenga,100.0,BW,1613091119.0,95.0,-18.5278,,,5.82
Bethel,1.0,US,1613091119.0,46.0,41.3712,,,4.61
Kudahuvadhoo,0.0,MV,1613090932.0,77.0,2.6708,,,15.12
